matchId,teamWon,goldEarned,kills,deaths,assists,cs,visionScore,totalDamageDealtToChampions,totalDamageDealt,teamDragons,teamBarons,teamTowers,enemyDragons,enemyBarons,enemyTowers
EUW1_6748598006,False,27220,13,23,10,422,47,38115,344230,1,0,1,2,1,6
EUW1_6748675520,True,49178,17,20,41,682,112,63937,736447,4,2,9,2,0,5
EUW1_6750089296,False,32018,17,15,37,364,75,45763,300415,1,0,3,3,1,10
EUW1_6753373821,True,43991,26,15,27,519,71,69229,604898,4,2,11,1,0,3
EUW1_6753442336,True,43052,27,17,54,535,62,88973,530472,4,1,9,0,0,3
EUW1_6756617274,False,51244,30,19,34,517,144,100965,579749,4,2,9,2,0,11
EUW1_6756713994,True,27318,20,6,50,203,16,27683,157757,1,0,10,0,0,1
EUW1_6756751806,False,22959,9,21,17,263,50,25942,223386,1,0,1,3,0,9
EUW1_6758061602,False,37792,15,25,26,527,43,70160,510037,2,1,8,2,1,9
EUW1_6759310528,False,25072,7,16,26,324,80,43853,213966,2,0,3,1,1,10
EUW1_6759355280,True,39892,15,10,44,473,130,38777,513904,4,2,11,1,0,4
EUW1_6759419887,False,36603,18,22,12,501,53,51674,454346,1,1,3,3,0,9
EUW1_6761069621,True,38678,23,11,25,532,42,60567,635014,3,1,9,3,1,7
EUW1_6762775828,True,29349,21,11,40,283,107,65895,292936,3,0,9,2,0,5
EUW1_6768126443,False,28814,15,20,26,332,96,44675,266622,1,0,1,3,1,10
EUW1_6768203175,True,30432,19,4,44,334,96,45822,269683,4,1,5,0,0,5
EUW1_6769681405,False,37811,12,22,29,533,106,64375,446506,2,0,5,2,1,8
EUW1_6774402002,True,11238,5,1,7,143,22,7421,55334,1,0,2,0,0,0
EUW1_6779398430,False,26273,2,23,15,437,46,39950,354742,1,0,2,3,0,11
EUW1_6795642183,True,60557,33,11,40,823,80,101193,836344,3,2,10,1,0,8
EUW1_6795723149,True,58971,27,21,48,832,95,101660,877734,3,1,11,2,1,7
EUW1_6800402951,True,49833,24,15,43,685,134,88937,578959,2,0,6,3,0,3
EUW1_6801893375,True,36034,31,12,22,427,45,60896,429030,4,0,7,0,0,2
EUW1_6807883172,False,21762,11,10,18,252,78,40366,187409,0,0,4,3,1,9
EUW1_6812818697,False,34018,9,16,18,500,112,34933,382924,1,0,0,2,1,11
EUW1_6821924477,False,69540,40,33,51,791,175,125223,939768,4,2,8,2,1,10
EUW1_6823354383,True,68665,38,15,62,884,196,132009,924455,4,1,9,1,0,8
EUW1_6824725630,False,15014,4,9,5,253,30,32421,211274,0,0,0,3,0,11
EUW1_6831940845,True,14460,6,0,13,156,71,16689,103009,2,0,5,1,0,0
EUW1_6831998041,True,28689,7,12,56,250,138,61610,272684,4,2,10,3,0,8
EUW1_6841804878,False,46969,16,20,23,712,106,68389,552406,3,1,4,2,0,9
EUW1_6841887493,True,59471,48,26,64,604,144,107050,596520,4,1,11,2,1,3
EUW1_6841981672,False,37750,17,21,20,467,151,40510,366978,1,0,0,2,0,10
EUW1_6844492673,True,48971,38,19,43,529,94,97430,466360,2,1,9,1,0,2
EUW1_6844550495,False,55719,31,35,49,664,175,155340,699392,2,1,4,3,1,11
EUW1_6848277143,False,11623,0,7,0,218,24,7212,77891,1,0,0,0,0,2
EUW1_6848314288,True,51766,27,9,49,681,116,98564,772556,6,2,11,0,1,9
