matchId,replaced_player,new_loss_rate,original_loss_rate,impact_loss_rate
EUW1_6934657626,Tibbtokontop#EUW,54.738913812679854,100.0,-45.261086187320146
EUW1_6934657626,WT GigaChad#1070,50.0,100.0,-50.0
EUW1_6934709931,Billy Bongo#EUW,55.7707486653047,50.0,5.770748665304703
EUW1_6934709931,Sporus#EUW,55.55555555555556,50.0,5.555555555555558
EUW1_6934709931,Tibbtokontop#EUW,55.11030139210187,50.0,5.110301392101868
EUW1_6934709931,WT Final Stand#EUW,0.0,50.0,-50.0
EUW1_6934709931,WT GigaChad#1070,100.0,50.0,50.0
EUW1_6934758240,Billy Bongo#EUW,55.7707486653047,50.0,5.770748665304703
EUW1_6934758240,Sporus#EUW,55.55555555555556,50.0,5.555555555555558
EUW1_6934758240,Tibbtokontop#EUW,55.11030139210187,50.0,5.110301392101868
EUW1_6934758240,WT Final Stand#EUW,0.0,50.0,-50.0
